weight,count
1,87252
2,14026
3,4548
4,2221
5,1214
6,785
7,517
8,357
9,227
10,134
11,111
12,66
13,55
14,40
15,29
16,16
17,16
18,6
19,5
20,3
22,3
23,1
25,2
27,1
38,1
