weight,count
1,56288
2,10818
3,3677
4,1703
5,855
6,511
7,298
8,182
9,138
10,112
11,64
12,51
13,37
14,29
15,23
16,16
17,21
18,17
19,15
20,7
21,9
22,6
23,7
24,7
25,4
26,5
27,1
28,3
29,1
30,2
31,5
32,2
33,3
36,1
37,1
38,1
39,1
42,1
45,1
46,1
47,1
49,2
52,2
53,1
56,1
57,1
76,1
89,1
