id,x_soma,y_soma,z_soma,x_cm,y_cm,z_cm,degree,presynaptic_degree,postsynaptic_degree,weighted_presynaptic_degree,weighted_postsynaptic_degree,pca_1_x,pca_1_y,pca_1_z,pca_1_evr,linear_span_pca_1,n_mesh_vertices
1422824150,3030976.0,620848.0,16896.0,3024049.7791248034,622949.776890223,20005.250139446154,0,0,0,0,0,-0.9885067232897315,0.0716826852679579,-0.1331016553006507,0.496412167737054,81460.81004223367,109033
38391271379,1394440.0,1005064.0,76032.0,1393220.02483107,1007533.0410447416,79539.7210611712,0,0,0,0,0,0.0786570323670658,-0.9920268793248406,-0.0984669587030292,0.5744419068559492,26583.64983160817,82584
4217863883,3031992.0,1303192.0,12672.0,2997106.6449420163,1335880.6915889084,22635.34421928501,14,5,10,7,17,0.8578729503870419,-0.5118092305781256,0.0458836843470479,0.9505284377551442,558585.788558529,365842
4388330901,2033352.0,1403456.0,114048.0,2035730.1723732448,1380637.5434614434,105790.56289618684,7,5,2,5,2,0.9614751555360196,-0.1359967100536873,0.2388941609616277,0.6440663719817686,446374.7546329312,1073516
39940847363,2525656.0,1566880.0,135168.0,2584376.5275766696,1536461.3693878823,130738.99539775409,7,6,1,7,1,0.8435497829000994,-0.5367340814048838,-0.0184469408751507,0.9073154579882892,619182.3812005788,490006
4507533154,2585440.0,1450448.0,67584.0,2601228.8215537416,1447963.352454839,90632.58875959872,8,2,6,2,7,0.7561719615210067,-0.6516493999067762,-0.0596407931755704,0.5902341422475799,773956.9862504232,1331374
6450458991,838864.0,1821088.0,8448.0,840766.1277913318,1821449.546026659,14352.222570900163,0,0,0,0,0,-0.0115016343010166,-0.0375005983110632,0.9992304126350028,0.7823799952978503,53396.75159813449,101955
73735693592,1268928.0,1019184.0,130944.0,1266163.8270649596,1028223.5551498472,132566.52175930125,0,0,0,0,0,-0.2757528331453158,0.9611996616693042,0.0074555629664743,0.7967094576330875,82428.54479769163,81449
3914529842,3605184.0,1198120.0,59136.0,3606333.098217726,1199203.122832239,46389.18632885904,0,0,0,0,0,0.1531256520405521,0.2207247717197554,-0.9632409406978184,0.8423184142537617,72814.62233895739,203589
29050588873,2650376.0,875448.0,97152.0,2673049.762959041,831946.060772887,109892.58972365932,2,0,2,0,2,0.6790628946306374,-0.7218215233234505,0.1335936884844238,0.8031414537555877,407214.1239168467,356575
3963793487,1488832.0,1310376.0,0.0,1488651.076984906,1292960.9386451957,40046.719880407705,7,1,6,1,12,-0.982292205823162,0.1775547638192064,-0.059802409852552,0.6698908997972919,451771.9598112963,903561
2164658206,2898624.0,814880.0,0.0,2911376.182955029,785150.5601182369,20410.7313167496,0,0,0,0,0,0.356701991446357,-0.820007707222216,0.4476059085784806,0.86142251630844,125296.66189271431,79893
3922954038,2338328.0,1053808.0,105600.0,2297902.6363695213,1097284.254286931,102794.49771932172,27,0,27,0,43,-0.7772446809686326,0.618824213655526,-0.1137861964369497,0.7945289937772281,496935.409482916,579211
2105187942,2353984.0,1003408.0,21120.0,2406838.475602821,958853.013987146,73841.98367309992,25,9,17,9,38,0.5560634251829594,-0.8252196353868255,0.0990253530457213,0.7657558594108415,839388.5866913556,2636417
7328490195,1962944.0,2161296.0,42240.0,1893982.765160429,2129435.8355875458,43299.29695454329,2,2,0,3,0,0.9930897083694968,0.0788877167305629,0.0868881998871318,0.7708136007759486,192733.7649957636,1599121
31846724765,2823104.0,1518408.0,126720.0,2762944.902688115,1542052.5815088204,118644.49227363797,21,13,8,16,11,-0.9423204888872846,0.3290171939352916,0.0614799342727031,0.8986717480939489,420598.80959135713,442303
51687030786,2598792.0,2070856.0,88704.0,2598040.902706273,2066722.2618509573,91421.10072183186,0,0,0,0,0,-0.2563113380928705,0.9625516821977704,-0.0883105716394398,0.5110811077742549,19418.68811051501,37123
50000030587,2946600.0,1683720.0,139392.0,2957085.1253606286,1681345.3163572869,126556.06062769136,16,16,0,19,0,0.3480942676459473,0.9358675202906032,0.0546110364042739,0.5325604365258829,267365.8752206289,487617
71366710565,2195000.0,421152.0,152064.0,2194863.340729621,428095.53307266673,147647.1689987066,0,0,0,0,0,-0.5755119907632857,0.8168634027020171,0.0389888421700634,0.6737783202865597,110544.22706297971,91303
3604403611,2476600.0,1049904.0,109824.0,2460006.8297065985,1064304.1179961427,98266.73775526603,27,8,20,8,41,0.689988336113907,-0.706433023228035,0.1576974309228291,0.7411943918143981,436667.59621713497,361455
3518491104,2924584.0,1135584.0,109824.0,2940171.410194911,1164096.4430687225,102104.52222108144,38,19,21,22,24,0.4616811079440792,-0.8816696433028482,0.097515099578247,0.6950855842800999,794346.1332706647,2514129
33012965663,3253000.0,1896504.0,84480.0,3254817.713583311,1862634.7079013125,98797.3878158096,6,0,6,0,7,0.9470140087225992,0.2904358138859417,-0.137155041086952,0.7766996708774534,367105.93691463815,731741
28670934846,2385080.0,519176.0,135168.0,2382827.2040043287,550259.1414442218,118523.47574718176,11,9,2,10,2,-0.3717294861332545,0.9217535223429216,-0.110397614048144,0.6129039858550973,523625.5154902877,1265070
2192851921,2687816.0,713672.0,118272.0,2692286.2547402545,687974.2886401011,116206.31037623456,19,16,3,17,4,0.3892383429619572,-0.9110344174448812,0.1360507353860889,0.7451870805840773,547297.5856368877,890546
5990673589,2297328.0,1742848.0,143616.0,2418305.546071029,1701910.8751854245,105417.49123992784,21,7,14,8,23,0.911399965905228,-0.4115094685613447,-0.0031716608122818,0.910481504124394,1112171.1792163462,1680085
1100054524,2422520.0,558880.0,50688.0,2426149.9404850383,576727.9064969725,37386.82905458908,10,2,8,2,9,-0.2408559682835918,0.9665324546405222,-0.0883369496232482,0.8506102450803303,481996.1048731709,310755
28597141231,2067960.0,678568.0,143616.0,2105026.511500203,678722.8944937339,129060.700020544,15,5,11,6,14,-0.7113257912892927,0.6967119792886387,-0.0927795050771959,0.5219079696064286,700648.5161053778,1593554
2089052694,2248528.0,858888.0,25344.0,2237972.920733091,853594.4261510018,31533.53469574334,8,3,5,4,10,-0.7277366195775498,0.6847590794956782,-0.0387867963883561,0.9189797076142454,458522.0178088172,490165
6047909437,2103808.0,1787088.0,168960.0,2062520.4912162968,1804742.2312583777,135913.29012192893,5,5,0,10,0,-0.4851525231782838,0.8650710212312468,-0.1275898016287839,0.5064201811951125,340236.31533989595,648716
