id,x_cm,y_cm,z_cm
38601380742,2893457.756458506,1022135.2371855744,128425.98412475346
39408800710,1026104.1816863104,1271962.132298096,79812.96827560118
6048143049,2089725.339277625,1726709.008176264,63129.51215949991
38017194751,2465835.813253033,873051.8405118061,124050.353837107
20951880684,1409925.3029626764,1062550.3851025912,33026.319276833114
5992995092,2764404.4588259766,1753110.6307652306,38489.628423529415
5221639057,2997521.3563273284,1752460.8338472894,90280.70300833145
5555608806,2540921.339340521,1640773.617307046,51071.53338695736
57934345706,3202930.520567884,1396002.877823579,129896.43310065534
54334789873,2277330.140756838,568504.4913582228,155709.16205592462
3750968098,2953649.467732331,1273325.1874038286,77500.08364783756
5772461570,2320765.0189819383,1726505.9373208738,78931.11838083458
2599503956,2552088.8833655827,934586.3888639256,115355.24346551226
39548533676,3100184.789783813,1194257.999187846,125997.04051445951
4027364644,2825585.519117571,1318545.9985034626,107296.75495883467
4268471425,1301952.8526107713,1377434.6626725544,61504.84059772123
6835211431,2409118.793448272,1972477.824611039,38598.58373447604
1465327748,2794895.518900359,723625.5618637619,56999.187927145125
36007834520,2306078.6738547827,495525.23923565535,112262.24351206471
33326462360,1588254.4198041295,1971527.362684692,133892.37609976574
57687778599,3328637.4309581416,1395936.807382092,117577.75928946222
6219969344,1392188.2408437482,1649219.5809903175,125443.75443201578
42194043747,2163288.386738323,1919828.88399,148706.55309173555
5045244161,2290021.563116645,1596724.322526388,53428.013162076
34475620515,1579036.968747053,2175249.934221954,139458.36752884922
40695033295,2566380.451801236,1567640.845960708,139751.13911097753
5101092969,1903566.579679756,1477100.7633395563,45686.367087800536
28803598117,2717809.426776632,772417.918611893,107796.23368476046
3411757268,1346053.2786706209,1521789.9791218531,36239.18723545648
42036660417,2838169.8340858617,1847432.9867430453,137677.972382712
5263952660,2653915.03612234,1628766.068230675,61502.090945182645
2757428565,1914242.2823273668,985428.040776596,30594.646891542885
53679599772,2163922.833837251,445830.1446756639,103127.2720317852
29212762704,3069867.521068442,895351.0002485815,81799.42830857122
38220587182,2375027.972997907,919305.3271678496,119582.29110714913
26909906638,2413043.0698426785,373382.5101391534,53847.78548142507
37331824259,2139353.696777494,721046.2727796121,149409.72397269474
35994167495,2576749.3886489067,518480.17345638736,126199.2072753064
5365195932,2490406.912622936,1578763.942346096,77322.79576280997
6371381482,2777655.971411002,1755104.487200149,123651.3153329144
823467559,2302008.167712935,552287.2831232364,35668.13942487033
4830551047,3321112.664808149,1479279.1937769812,28587.972626452716
39061779432,1593187.1227236392,1142017.6799531195,96698.73954028302
3852605295,2928680.5518423254,1278560.107059912,100728.54464401868
2207701672,2739603.667593798,872522.826407421,35418.263235094564
1218293403,2739974.784353868,742770.1731907689,52082.74276254249
983363488,2383980.5782361934,479987.6283451029,35188.13241290037
37029363761,2943499.9723743084,773265.4099873105,102988.44237627306
4028123903,2985733.400754522,1222621.2098624948,95398.96195635288
4242364929,2157206.5855052182,1398225.306161388,98834.69488217564
4101611168,3100478.089267182,1212491.251946832,90944.8373923656
41891802158,3138703.698405426,1890237.4713025035,130642.6054390902
5904908399,2627877.923693322,1830554.792462314,27004.132177438478
4519901676,2304165.579537216,1447051.6466812042,72959.98730966437
4796691510,2404560.375751337,1429168.824830398,98841.35012289754
4272223423,2109884.176591904,1394818.3671716526,30148.331717907316
36795471205,2626751.633811494,739968.8899773709,131746.48578199896
33301012869,2418790.698613437,1923881.1833387169,115373.52060018896
7067117794,2059750.996422295,2031066.566876052,51573.41967904583
3700975120,1351919.0443352486,1168816.2744075423,22911.55340508613
3950798141,1777472.5426257292,1260118.9270170317,13725.04789897773
6179610438,2304554.832338156,1830840.3068772235,40454.623808573095
6107116586,1961932.778752115,1824634.7083417145,35836.10504191574
33401861685,1775999.529271163,2024094.4709052271,116572.74221177872
29385844028,2703168.086194795,949920.2835732911,90231.36777163368
781431706,2807122.50141201,465478.28903824906,33504.21222486187
4272734708,2300179.930851233,1341125.5010330305,68833.52826417201
1102726098,3013174.822209236,794825.7137624618,30862.00798451376
5512972670,3036151.6896041776,1655139.0506776469,99666.8141061208
6400160034,2811532.784450229,1674931.0623734412,117309.69178184724
3474483833,2536773.6622892474,1241591.917513152,97958.76247060412
37040111002,1911018.9916126807,704151.0159212862,117408.81327871724
39836537081,2365750.315825135,1397859.291704276,113592.64018374876
6337053219,1407982.1103352674,1828651.047634876,85443.00204446379
3282830892,2317118.6362916594,1083471.0003519156,89597.80396673093
103090390686,3081587.911809667,1704430.916905123,169110.26201293347
1027868129,2604753.7262756303,535823.2773504644,34182.27426429686
36751316847,2583328.681617676,693564.6591222464,128075.74937044516
29372250446,2930687.831059952,957688.6353368215,57866.81440273261
4014676389,3197095.2906170296,1236857.1005289492,45801.51184515857
33709243748,2675048.5428067152,1969677.4438086827,97135.75560350005
764742643,2372631.2264516684,530958.2896937007,31641.67682478226
